               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.060386,            0.023455,                   0,             0.42021,                 0.5,             0.42656,            0.080134,            0.041905,            0.014707,                   0,           0.0017417,           0.0017417,            0.081142
                  69,            0.060933,            0.023613,                   0,             0.88371,             0.70363,             0.78005,              0.2072,            0.032036,            0.014948,                   0,           0.0017581,           0.0017581,            0.080858
                  70,            0.058774,            0.024235,                   0,             0.60613,             0.57407,             0.44654,            0.079434,            0.038858,            0.014481,                   0,           0.0017741,           0.0017741,            0.080574
                  71,            0.058971,            0.022437,                   0,             0.80378,              0.7586,             0.80917,             0.27008,            0.032702,            0.014736,                   0,           0.0017898,           0.0017898,             0.08029
                  72,            0.060213,            0.023416,                   0,             0.84089,              0.7037,             0.78206,             0.16292,            0.034133,            0.014654,                   0,           0.0018051,           0.0018051,            0.080005
                  73,            0.058587,            0.022276,                   0,              0.6942,             0.75675,             0.72116,             0.20843,            0.035588,            0.014444,                   0,           0.0018201,           0.0018201,             0.07972
                  74,            0.056969,            0.023643,                   0,              0.8356,             0.85185,              0.8991,             0.31996,            0.029917,            0.014011,                   0,           0.0018347,           0.0018347,            0.079435
                  75,            0.056035,            0.022918,                   0,              0.7301,              0.8516,             0.79283,             0.23103,            0.033174,             0.01438,                   0,           0.0018489,           0.0018489,            0.079149
                  76,            0.056446,            0.023374,                   0,             0.71174,             0.87037,             0.84006,             0.32859,            0.028227,            0.014181,                   0,           0.0018628,           0.0018628,            0.078863
                  77,            0.056716,            0.021213,                   0,             0.79284,             0.85049,             0.84489,             0.18976,            0.036905,             0.01321,                   0,           0.0018763,           0.0018763,            0.078576
                  78,            0.056861,            0.023551,                   0,             0.84208,             0.88872,             0.89867,             0.40749,            0.030928,              0.0135,                   0,           0.0018894,           0.0018894,            0.078289
                  79,            0.055162,            0.021187,                   0,             0.69109,             0.87037,             0.81755,             0.39371,            0.029877,            0.013859,                   0,           0.0019021,           0.0019021,            0.078002
                  80,            0.053955,            0.021565,                   0,             0.84579,             0.60946,             0.81017,             0.33002,            0.029295,              0.0141,                   0,           0.0019145,           0.0019145,            0.077715
                  81,            0.056344,            0.021626,                   0,             0.73417,             0.86949,             0.87048,             0.40445,            0.029983,            0.013623,                   0,           0.0019265,           0.0019265,            0.077427
                  82,             0.05688,            0.020513,                   0,             0.62523,             0.96296,             0.72784,             0.23789,            0.039254,            0.012877,                   0,           0.0019381,           0.0019381,            0.077138
                  83,            0.054115,             0.02165,                   0,             0.91765,             0.87037,             0.94985,             0.25231,            0.034606,            0.012949,                   0,           0.0019493,           0.0019493,            0.076849
                  84,            0.054023,            0.021337,                   0,             0.60739,             0.88813,             0.72773,             0.14136,            0.041234,            0.014375,                   0,           0.0019602,           0.0019602,             0.07656
                  85,            0.054208,            0.022412,                   0,             0.77758,             0.90639,             0.83099,              0.1898,            0.038288,            0.013613,                   0,           0.0019706,           0.0019706,            0.076271
                  86,            0.052411,            0.020831,                   0,             0.74112,             0.79523,             0.74665,             0.15669,            0.037308,            0.012575,                   0,           0.0019807,           0.0019807,            0.075981
                  87,            0.055964,            0.022629,                   0,             0.81883,             0.92593,             0.89667,             0.39416,            0.033322,            0.013377,                   0,           0.0019904,           0.0019904,             0.07569
                  88,            0.052305,            0.021248,                   0,             0.79678,             0.94392,             0.92968,             0.39289,            0.030099,            0.015233,                   0,           0.0019997,           0.0019997,              0.0754
                  89,            0.052723,             0.02001,                   0,             0.83577,             0.94245,             0.86559,             0.35447,            0.026591,            0.016005,                   0,           0.0020086,           0.0020086,            0.075109
                  90,            0.049624,            0.021199,                   0,             0.70802,             0.94302,             0.83315,             0.36397,            0.027395,            0.015764,                   0,           0.0020172,           0.0020172,            0.074817
                  91,            0.051887,            0.020972,                   0,             0.63404,             0.72222,             0.73475,             0.30814,            0.029141,            0.016851,                   0,           0.0020253,           0.0020253,            0.074525
                  92,            0.051883,            0.021143,                   0,             0.59521,             0.98148,             0.77529,             0.38417,            0.030159,            0.014839,                   0,            0.002033,            0.002033,            0.074233
                  93,            0.049588,            0.020818,                   0,              0.5745,             0.96296,             0.69911,             0.25468,            0.032315,            0.013293,                   0,           0.0020404,           0.0020404,             0.07394
                  94,            0.049429,            0.020776,                   0,             0.70674,             0.84801,             0.82122,             0.28221,            0.034816,            0.015635,                   0,           0.0020474,           0.0020474,            0.073647
                  95,            0.050749,            0.021113,                   0,             0.82116,              0.8503,              0.8661,             0.39996,            0.026347,            0.016997,                   0,           0.0020539,           0.0020539,            0.073354
                  96,              0.0488,            0.020377,                   0,             0.77578,             0.83295,             0.83823,             0.25587,            0.035481,            0.016481,                   0,           0.0020601,           0.0020601,             0.07306
                  97,            0.048095,            0.020326,                   0,             0.58767,              0.7963,             0.62356,             0.19161,            0.034349,            0.013193,                   0,           0.0020659,           0.0020659,            0.072766
                  98,            0.053441,            0.019693,                   0,             0.90284,             0.87037,             0.90133,             0.29436,            0.036459,            0.012478,                   0,           0.0020713,           0.0020713,            0.072471
